title,price,rating,total_reviews,product_description,shoe type,merk,review1,review_rating1,review2,review_rating2,review3,review_rating3,review4,review_rating4,review5,review_rating5,review6,review_rating6,review7,review_rating7,review8,review_rating8,review9,review_rating9,review10,review_rating10
sparx men's sc0162g sneakers,₹645.00,4.2 out of 5 stars,789 ratings,sparx is a spectacular range of footwear from the house of relaxo footwears ltd. a name trusted among millions of people in india and across the world for delivering unmatched quality. since its inception the company has established a benchmark for bringing the finest range of footwears.,men,sparx men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
campus men's harrow running shoes,₹800.00,3.8 out of 5 stars,23 ratings,stay comfortable while playing by wearing this pair from campus. the premium quality upper adds to the overall look and provides necessary cushioning to your feet. it will offer a good grip and negate the chances of accidental slips owing to its slip-resistant sole. the air capsule technology detail at the heel made of tpu which is crack resistant fully padded sock lining for ultimate comfort and has eva midsole with phylon outsole adds durability and make this pair a worth buy.,men,campus men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
sparx men's sd0665g loafer,₹532.00,4.2 out of 5 stars,39 ratings,flaunt with these stylish and unique navy white casual shoes as per the latest fashion trend from the house of sparx. super comfortable casual shoes with mesh as upper material and eva as sole material.,men,sparx men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
tying men's training shoe,₹237.00,3.3 out of 5 stars,1244 ratings,elevate your style with this classy pair of training shoe from the house of tying brand. featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,men,tying men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
unistar men's boots,₹599.00,3.8 out of 5 stars,669 ratings,high quality training/running shoes specially desined for army jawans and officers. manufactured on italian rotary machine with superior quality of raw material. the shoes are designed to withstand the rigorous training and practice.,men,unistar men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
amazon brand - symbol men's synthetic formal shoes,₹599.00,3.8 out of 5 stars,118 ratings,our wide variety of formal casual and athletic footwear is made keeping you in mind. available in a plethora of colours shapes and materials symbol shoes have been crafted with the single-minded objective of comfort style and longevity. all of this at a price you simple can’t say no to.,men,amazon brand,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
nivia men's appeal badminton shoes,₹888.00,4.1 out of 5 stars,519 ratings,soft cushioned tongue and ankle textured outsole with patterned grooves and lugs reinforced heel collar soft and padded footbed overlay detail.nivia badminton shoe features an asymmetrical fit that gives the foot the support and stability it needs for more accurate footwork.nivia power cushion absorbs shock then reverses the impact energy for smooth transfer into the next movement.,men,nivia men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
campus men's running shoes,₹714.00,4.2 out of 5 stars,702 ratings,campus presents  running shoes which will help you give your best during the workout and training sessions.,men,campus men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
bata men sort formal shoes,₹494.00,4.1 out of 5 stars,1339 ratings,elevate your style with this classy pair of formal shoes from the house of bata. featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,men,bata men,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
lancer men's road running shoe,₹899.00,3.6 out of 5 stars,346 ratings, lancer men's outdoor multi-utility sports shoes made of mesh eva for good durability and comes with latest design and elegant look. it features lace-up closure and closed toe for comfortable wearing all day long. brand: lancer___gender: men___material: mesh___sole material: manmade,men,lancer men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
maddy men's sneaker (set of 4 pairs),₹899.00,3.7 out of 5 stars,433 ratings,elevate your style with this classy pair of sneaker from the house of maddy brand. featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,men,maddy men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
advick men's office derby semi casual shoes,₹622.00,4.0 out of 5 stars,427 ratings,our products are manufactured under skilled workers  having experience from last 10th generations. advick shoe research mostly in quality with genuine price. you fulfill your need for trendy fashions casual & formal shoes of long durability tpr sole high griping  water resistance & shock proof.,men,advick men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
red tape men rte0872a loafers,₹1142.00,3.3 out of 5 stars,32 ratings,ensure ultimate cushioning and comfort for your feet with this pair of brown slip-on shoes for men from red tape. while the lightweight synthetic pu (polyurethane) upper assures ultimate comfort for your feet the tough rubber outsole assures better flexibility and durability.  launched in 1996 in india red tape has carved a niche for itself as a world-class high fashion range of semi-formal & casual range of shoes & sandals. with its recent launch of apparels & accessories along with opening of retail stores the brand is poised for the next level of growth in the indian market. red tape was launched in the uk in 1992 the brand has already earned international recognition with its success in uk india south africa us canada new zealand etc. red tape is now being sold in over 17 countries world-wide. the product development is monitored by the company studios in uk & south africa where top quality designers from italy us &india come together to make world class designs in tune with the latest fashion trends. the brand has achieved an enviable position by its proactive approach. ,men,red tape,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
bata men's formal shoes,₹659.00,3.9 out of 5 stars,591 ratings,elevate your style with this classy pair of formal shoe from the house of bata brand. featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,men,bata men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
bata men's jalsa laser formal shoes,₹699.00,4.0 out of 5 stars,209 ratings,experience great comfort walking in this pair of formal shoes from the house of bata featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,men,bata men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
sparx men's sx0421g sneakers,₹655.00,4.1 out of 5 stars,74 ratings,breathable mesh for lightweight and comfort. side hexa wings integrated with laces for enhanced stability.,men,sparx men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
sir corbett men's jogging black sports shoes(big,₹696.00,3.7 out of 5 stars,157 ratings,sir corbett men's jogging sports shoes,men,sir corbett,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
amazon brand - symactive men running shoes,₹999.00,3.5 out of 5 stars,3 ratings,our wide variety of sports footwear is made keeping you in mind. available in a plethora of colours shapes and materials symactive shoes have been crafted with the single-minded objective of comfort style and longevity. all of this at a you simple can’t say no to.,men,amazon brand,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
nivia airstrike football studs black/fluorescent green,₹603.00,3.8 out of 5 stars,832 ratings,leave your opponent in the dust with comfiest football boot from nivia soccer string. this boot is built to meet the demands for novice players and the feedback from them has been phenomenal. so geared up for modern game to turbo-charge your movements and shatter the defence of your rivals.,men,nivia airstrike,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
campus men's tyson running shoes,₹779.00,4.0 out of 5 stars,1433 ratings,campus sport shoes are premium quality light weight shoe optimised for running and all day usage. unique mesh weaving offers incredible breathability.,men,campus men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
lancer men's running shoes,₹899.00,3.5 out of 5 stars,2172 ratings,lcr brand includes the sports shoe and floaters range which signifies today's youth image. these uniquely designed footwear's give you the comfort you need with the style you want. it comes in various range & variety and hence fulfills the need of all.,men,lancer men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
sparx men's running shoes,₹880.00,4.1 out of 5 stars,5061 ratings,flaunt with these stylish and unique sports shoes as per the latest fashion trend from the house of sparx. super comfortable sports shoes with mesh as upper material and eva as sole material.,men,sparx men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
adidas men's clinch-x m running shoe,₹1272.00,4.0 out of 5 stars,221 ratings,upper: mesh upper for lightweight and breathability. midsole: lightstrike imeva midsole with visible adiprene providing protection from harmful impact forces.,men,adidas men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
red tape kid's rso098 running shoes,₹1460.00,3.6 out of 5 stars,69 ratings,give your casual style a boost with a bit of sporty essence red tape brings you these exclusively designed walking sports shoes. featuring the combo of blue color and suave pu mesh material these shoes have cushioned footbed to ensure the flawless comfort as well as full air eva soles to make sure the utmost durability. along with making it more sporty and appealing the evergreen lace up closure assures the utmost wearing comfort. complete the look with your casual outfits.product color may slightly vary due to photographic lighting sources or your monitor settings.,men,red tape,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
adidas men's drogo m running shoes,₹1080.00,4.1 out of 5 stars,4097 ratings,the product will be an excellent pick for you. it ensures an easy maintenance.,men,adidas men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
adidas men's clear factor m running shoe,₹1499.00,3.9 out of 5 stars,375 ratings,light weight mesh & synthetic with recycled fibers with unique performance properties such as soft mesh with superior moisture and high durability. unique design of counters & deco stitch on the vamp which makes the shoe stand out. upper: mesh upper for lightweight and breathability midsole: lightstrike imeva midsole with visible adiprene providing protection from harmful impact forces,men,adidas men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
adidas men's adivat m running shoe,₹1619.00,4.1 out of 5 stars,200 ratings,dual tone light weight mesh & synthetic with recycled fibers with unique performance properties such as soft mesh with superior moisture and high durability. unique design of counters & deco stitch on the vamp which makes the shoe stand out. upper: mesh upper for lightweight and breathability midsole: lightstrike imeva midsole with visible adiprene providing protection from harmful impact forces,men,adidas men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
reebok men's essential tr lp running shoes,₹2021.00,3.8 out of 5 stars,140 ratings,reebok footwear are designed to set the pace for every day action.,men,reebok men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
adidas men's glenn m sneakers,₹1373.00,4.1 out of 5 stars,515 ratings,the adidas footwear provides ultimate comfort and breathability.,men,adidas men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
red tape men's rso1201 walking shoe,₹1825.00,3.6 out of 5 stars,46 ratings,you can be a minimalist and stylish at the same time. these black sport shoes made for men by red tape ensure you stay at the top of your fashion game supported by a lug eva+air sole adds comfort to your journey these shoes are abrasion resistant and offer better cushioning to you feet the mesh and pu upper material displays printed branding over the elasticated trim around its side panel.,men,red tape,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
reebok men's ridge runner running shoe,₹1413.00,3.9 out of 5 stars,30 ratings,the footwear allows your foot to flex as it was intended • it provides customized cushioningfor adaptable comfort • breathable and light weightsupport • textile forefoot and soft rear foot for ultimate breathability and comfort•,men,reebok men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
bacca bucci zeus men fashion sneakers/running shoes with chunky rubber outsole for running walking training gyming streets parties & fun,₹1299.00,4.5 out of 5 stars,11 ratings,bacca bucci zeus men fashion sneakers/running shoes with chunky rubber outsole for running walking training gyming streets parties & fun,men,bacca bucci,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
red tape men's walking shoes,₹1049.00,3.9 out of 5 stars,7 ratings,red tape flow+ slip-on with ‘memory foam’ insole for added comfort premium quality upper provides breathability. easy to slip in slip-on shoes with pull tap on back heel for easy wearing. memory foam lightweight insole provides more cushioning and comfort. stretchable fabric for sock like comfort in collar helps in natural freedom of movement. advanced flow+ technology helps provide multidirectional traction and grip.,men,red tape,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
adidas men's hyperon-1.0-m running shoe,₹1509.00,3.9 out of 5 stars,508 ratings,adidas men's hyperon m legear/visgre/cblack/actg running shoes - 10 uk/india (44 eu)(cl7341_10),men,adidas men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
puma men's flex hype idp sneaker,₹1719.00,3.9 out of 5 stars,20 ratings,crafted with fine technology and futuristic design puma shoe is surely here to uplift your style and track games. kick off on street and field in this shoe from the world’s leading and much loved sports brand puma.,men,puma men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
adidas men's adilette shower navy blue flip-flops,₹1509.00,3.8 out of 5 stars,5045 ratings,after your swim treat your feet to comfort in these men's slides. the quick-drying slides have a contoured cloudfoam footbed that cradles your foot. the stripes on the bandage offer an extra touch of style.,men,adidas men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
reebok men's fast motion run lp shoe,₹1799.00,4.0 out of 5 stars,37 ratings,rubber pods for flexible traction and durability. standard full height thickness of midsole for cushioning and rubber pods for better grip. fuel foam technology for better athletic functionality,men,reebok men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
reebok men's austin running shoe,₹1259.00,4.1 out of 5 stars,61 ratings,upper consists of mesh that allows breathability and flexibility. pu panel in place of eyelets to strengthen the lacing system. vector print logo on the upper. a stylish and lightweight shoe for everyday need. full eva outsole for cushioning.,men,reebok men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
red tape men's leather formal shoes,₹1708.00,4.1 out of 5 stars,442 ratings,expertly crafted these formal shoes by red tape exude timeless elegance. featuring an embossed leather upper and cushioned footbed these shoes have a lace-up closure for a snug fit. the pvc (polyvinyl chloride) outsole assures outstanding durability. team these shoes with black trousers.,men,red tape,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
adidas men's unifactor m running shoe,₹1615.00,4.0 out of 5 stars,284 ratings,profile : great everyday trainer for young runner to go that extra mile. upper : mesh upper for lightweight and breathability. midsole : lightstrike imeva midsole with visible adiprene providing protection from harmful impact forces. outsole : adiwear: outsole for best durability in high wear areas.,men,adidas men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
